step	accuracy
0	0.84
1	0.8536161174419278
2	0.8710152793069277
3	0.8823547141854879
4	0.8927075124300075
5	0.9089724473225945
6	0.9375664172484113
7	0.9534986270945854
8	0.9793602034170406
9	0.9854503504392124
10	0.9803643756915611
11	0.9893551776549998
12	0.9879055565244089
13	0.983911374677766
14	0.9855086604628935
